whisky galore!,compton mackenzie,farce
kushiel's avatar,jacqueline carey,speculative fiction
vittorio the vampire,anne rice,speculative fiction
arrow's fall,mercedes lackey,speculative fiction
ring,koji suzuki,speculative fiction
the covenant,michael falconer anderson,speculative fiction
headhunter,timothy findley,speculative fiction
kalki,gore vidal,speculative fiction
antrax,terry brooks,speculative fiction
weetzie bat,francesca lia block,speculative fiction
bellwether,connie willis,speculative fiction
abba abba,anthony burgess,speculative fiction
dr. heidenhoff's process,edward bellamy,speculative fiction
americana,don delillo,speculative fiction
zorro,isabel allende,speculative fiction
the hero and the crown,robin mckinley,speculative fiction
resident evil: caliban cove,s. d. perry,speculative fiction
resident evil: underworld,s. d. perry,speculative fiction
sunrunner's fire,melanie rawn,speculative fiction
illywhacker,peter carey,speculative fiction
the cowardly lion of oz,ruth plumly thompson,speculative fiction
grampa in oz,ruth plumly thompson,speculative fiction
the hungry tiger of oz,ruth plumly thompson,speculative fiction
jack pumpkinhead of oz,ruth plumly thompson,speculative fiction
handy mandy in oz,ruth plumly thompson,speculative fiction
the magical mimics in oz,jack snow,speculative fiction
the magic toyshop,angela carter,speculative fiction
the ticket that exploded,william s. burroughs,speculative fiction
the mummy,anne rice,speculative fiction
the gift of stones,jim crace,speculative fiction
time's arrow,martin amis,speculative fiction
players,don delillo,speculative fiction
matilda,mary shelley,speculative fiction
tanequil,terry brooks,speculative fiction
the battle of life,charles dickens,speculative fiction
the merchant of death,d.j. machale,speculative fiction
a dead man in deptford,anthony burgess,speculative fiction
waiting for the barbarians,john maxwell coetzee,speculative fiction
the witch of blackbird pond,elizabeth george speare,speculative fiction
mr. palomar,italo calvino,speculative fiction
coin locker babies,ryu murakami,speculative fiction
the sundial,shirley jackson,speculative fiction
ape and essence,aldous huxley,speculative fiction
the body artist,don delillo,speculative fiction
a winter haunting,dan simmons,speculative fiction
thornyhold,mary stewart,speculative fiction
a million little pieces,james frey,speculative fiction
tutankhamun and the daughter of ra,moyra caldecott,speculative fiction
a wild sheep chase,haruki murakami,speculative fiction
the kingdom of the wicked,anthony burgess,speculative fiction
the far country,nevil shute,speculative fiction
across the nightingale floor,gillian rubinstein,speculative fiction
grass for his pillow,gillian rubinstein,speculative fiction
brilliance of the moon,gillian rubinstein,speculative fiction
dragoncharm,graham edwards,speculative fiction
beard's roman women,anthony burgess,speculative fiction
in the wet,nevil shute,speculative fiction
the white bone,barbara gowdy,speculative fiction
inkspell,cornelia funke,speculative fiction
a redwall winter's tale,brian jacques,speculative fiction
between the rivers,harry turtledove,speculative fiction
the tale of despereaux,kate dicamillo,speculative fiction
confessions of an ugly stepsister,gregory maguire,speculative fiction
the day of creation,j. g. ballard,speculative fiction
the crown of dalemark,diana wynne jones,speculative fiction
herland,charlotte perkins gilman,speculative fiction
the merlin conspiracy,diana wynne jones,speculative fiction
the brightonomicon,robert rankin,speculative fiction
the life and adventures of santa claus,l. frank baum,speculative fiction
the secret sharer,robert silverberg,speculative fiction
crossfire,anna husson isozaki,speculative fiction
the golem's eye,jonathan stroud,speculative fiction
ptolemy's gate,jonathan stroud,speculative fiction
all families are psychotic,douglas coupland,speculative fiction
the rising,tim lahaye,speculative fiction
the deceiver,louise cooper,speculative fiction
monster nation,david wellington,speculative fiction
monster island,david wellington,speculative fiction
drawing blood,poppy z. brite,speculative fiction
dragonfly in amber,diana gabaldon,speculative fiction
hart's hope,orson scott card,speculative fiction
lord foul's bane,stephen r. donaldson,speculative fiction
sword at sunset,rosemary sutcliff,speculative fiction
the silver branch,rosemary sutcliff,speculative fiction
moonchild,aleister crowley,speculative fiction
the spook's apprentice,joseph delaney,speculative fiction
the light bearer,donna gillespie,speculative fiction
arthur & george,julian barnes,speculative fiction
burning tower,jerry pournelle,speculative fiction
the black swan,mercedes lackey,speculative fiction
pet peeve,piers anthony,speculative fiction
the golden notebook,doris lessing,speculative fiction
the simoqin prophecies,samit basu,speculative fiction
the manticore's secret,samit basu,speculative fiction
after many a summer,aldous huxley,speculative fiction
the kestrel,lloyd alexander,speculative fiction
a breath of snow and ashes,diana gabaldon,speculative fiction
a strange manuscript found in a copper cylinder,james de mille,speculative fiction
the year of our war,steph swainston,speculative fiction
the changing land,roger zelazny,speculative fiction
a shadow on the glass,ian irvine,speculative fiction
keepers,gary a. braunbeck,speculative fiction
the last light of the sun,guy gavriel kay,speculative fiction
the foundling,nette hilton,speculative fiction
the feast of all saints,anne rice,speculative fiction
winds of change,mercedes lackey,speculative fiction
thinner,stephen king,speculative fiction
elantris,brandon sanderson,speculative fiction
at the back of the north wind,george macdonald,speculative fiction
dance dance dance,haruki murakami,speculative fiction
clovis dardentor,jules verne,speculative fiction
the leap,jonathan stroud,speculative fiction
cell,stephen king,speculative fiction
the honorary consul,graham greene,speculative fiction
dragonflame,graham edwards,speculative fiction
dragonstorm,graham edwards,speculative fiction
stone and sky,graham edwards,speculative fiction
stone and sun,graham edwards,speculative fiction
the lives of christopher chant,diana wynne jones,speculative fiction
spike and dru: pretty maids all in a row,christopher golden,speculative fiction
paleo,yvonne navarro,speculative fiction
resurrecting ravana,ray garton,speculative fiction
here be monsters,cameron dokey,speculative fiction
oz: into the wild,christopher golden,speculative fiction
mortal fear,denise ciencin,speculative fiction
daughter of fortune,isabel allende,speculative fiction
the hounds of the morrigan,pat o'shea,speculative fiction
the king in the window,adam gopnik,speculative fiction
so you want to be a wizard,diane duane,speculative fiction
all men are mortal,simone de beauvoir,speculative fiction
thirsty,matthew tobin anderson,speculative fiction
deep wizardry,diane duane,speculative fiction
high wizardry,diane duane,speculative fiction
the wizard's dilemma,diane duane,speculative fiction
a wizard alone,diane duane,speculative fiction
only revolutions,mark z. danielewski,speculative fiction
the ill-made mute,cecilia dart-thornton,speculative fiction
after image,pierce askegren,speculative fiction
colony,melinda metz,speculative fiction
